volume,volume_rows,length,normalized_len,concurrency,temp,layer,requests,p50_ms,p95_ms,p99_ms,mean_ms,max_ms,qps,transport_errors,correctness_failures,passed,elapsed_seconds
200k,200000,short,25,5,warm,remote_match,432,110.248,162.383,174.547,116.387,178.45,42.798,0,0,True,10.094
200k,200000,short,25,10,cold,remote_match,438,232.347,263.347,269.041,230.663,278.768,42.957,0,0,True,10.196
200k,200000,short,25,10,warm,remote_match,438,233.255,263.638,273.122,230.706,275.621,42.955,0,0,True,10.197
200k,200000,short,25,20,cold,remote_match,447,461.806,484.205,485.525,456.475,486.362,42.803,0,0,True,10.443
200k,200000,short,25,20,warm,remote_match,447,462.966,485.604,487.505,457.358,490.599,42.754,0,0,True,10.455
200k,200000,medium,100,1,cold,remote_match,113,88.775,89.678,90.091,89.018,111.195,11.231,0,0,True,10.061
200k,200000,medium,100,1,warm,remote_match,112,89.255,90.249,93.765,89.368,95.443,11.188,0,0,True,10.011
200k,200000,medium,100,5,cold,remote_match,431,112.903,156.064,172.113,116.497,179.049,42.666,0,0,True,10.102
200k,200000,medium,100,5,warm,remote_match,432,112.098,160.549,174.114,116.307,177.711,42.82,0,0,True,10.089
200k,200000,medium,100,10,cold,remote_match,438,232.152,271.738,277.411,231.53,280.21,42.696,0,0,True,10.259
200k,200000,medium,100,10,warm,remote_match,437,233.557,272.4,276.233,231.412,278.957,42.789,0,0,True,10.213
200k,200000,medium,100,20,cold,remote_match,445,464.94,488.538,491.534,459.282,494.013,42.718,0,0,True,10.417
200k,200000,medium,100,20,warm,remote_match,448,461.722,484.472,487.488,456.575,489.347,42.856,0,0,True,10.454
200k,200000,long,300,1,cold,remote_match,102,98.347,98.985,99.293,98.395,99.336,10.161,0,0,True,10.038
200k,200000,long,300,1,warm,remote_match,102,98.37,98.977,99.192,98.359,99.284,10.165,0,0,True,10.034
200k,200000,long,300,5,cold,remote_match,433,112.238,152.448,169.45,116.163,179.744,42.889,0,0,True,10.096
200k,200000,long,300,5,warm,remote_match,433,111.234,154.526,167.458,116.051,177.29,42.89,0,0,True,10.096
200k,200000,long,300,10,cold,remote_match,438,232.038,267.792,275.298,230.992,277.895,42.803,0,0,True,10.233
200k,200000,long,300,10,warm,remote_match,438,232.832,269.317,276.098,231.029,280.352,42.798,0,0,True,10.234
200k,200000,long,300,20,cold,remote_match,448,461.472,485.705,487.205,456.717,489.249,42.798,0,0,True,10.468
200k,200000,long,300,20,warm,remote_match,447,463.244,485.1,488.394,456.88,489.55,42.815,0,0,True,10.44
200k,200000,ultra,600,1,cold,remote_match,112,88.801,91.081,97.724,89.275,110.366,11.199,0,0,True,10.001
200k,200000,ultra,600,1,warm,remote_match,113,88.941,89.647,90.007,88.942,90.065,11.241,0,0,True,10.053
200k,200000,ultra,600,5,cold,remote_match,432,113.584,151.459,171.578,116.396,179.355,42.761,0,0,True,10.103
200k,200000,ultra,600,5,warm,remote_match,432,110.792,162.923,175.288,116.369,180.359,42.794,0,0,True,10.095
200k,200000,ultra,600,10,cold,remote_match,439,231.609,267.177,274.647,230.791,277.848,42.879,0,0,True,10.238
200k,200000,ultra,600,10,warm,remote_match,439,232.164,266.542,274.51,230.822,277.787,42.85,0,0,True,10.245
200k,200000,ultra,600,20,cold,remote_match,448,461.76,484.379,487.849,456.388,488.888,42.865,0,0,True,10.451
200k,200000,ultra,600,20,warm,remote_match,450,461.437,483.748,485.053,455.977,486.873,42.991,0,0,True,10.467
200k,200000,short,25,1,cold,query_recall,65,154.952,156.175,156.334,154.921,156.334,6.454,0,0,True,10.071
200k,200000,short,25,1,warm,query_recall,65,154.76,155.531,156.061,154.672,156.061,6.464,0,0,True,10.055
200k,200000,short,25,5,cold,query_recall,274,186.749,211.676,238.719,183.948,256.585,26.993,0,0,True,10.151
200k,200000,short,25,5,warm,query_recall,276,187.183,209.656,236.962,183.386,253.033,27.165,0,0,True,10.16
200k,200000,short,25,10,cold,query_recall,279,366.498,402.516,426.176,364.612,452.189,27.184,0,0,True,10.263
200k,200000,short,25,10,warm,query_recall,274,368.764,428.493,536.616,370.991,549.448,26.722,0,0,True,10.254
200k,200000,short,25,20,cold,query_recall,283,729.497,761.015,780.663,721.711,804.551,27.226,0,0,True,10.394
200k,200000,short,25,20,warm,query_recall,281,733.014,766.617,780.553,725.825,797.898,27.057,0,0,True,10.385
200k,200000,medium,100,1,cold,query_recall,65,155.957,156.638,170.47,156.209,170.47,6.401,0,0,True,10.155
200k,200000,medium,100,1,warm,query_recall,65,155.914,156.922,157.164,155.979,157.164,6.41,0,0,True,10.14
200k,200000,medium,100,5,cold,query_recall,275,184.173,211.65,239.822,184.02,249.248,27.085,0,0,True,10.153
200k,200000,medium,100,5,warm,query_recall,274,184.836,214.994,245.53,183.607,253.216,27.081,0,0,True,10.118
200k,200000,medium,100,10,cold,query_recall,278,367.01,401.64,422.153,364.917,429.816,27.157,0,0,True,10.237
200k,200000,medium,100,10,warm,query_recall,281,365.714,398.42,414.221,365.411,424.165,27.155,0,0,True,10.348
200k,200000,medium,100,20,cold,query_recall,282,729.382,762.192,783.345,722.338,791.596,27.136,0,0,True,10.392
200k,200000,medium,100,20,warm,query_recall,281,733.218,757.156,778.734,724.486,802.526,27.052,0,0,True,10.387
200k,200000,long,300,1,cold,query_recall,65,154.474,155.347,170.636,154.725,170.636,6.462,0,0,True,10.058
200k,200000,long,300,1,warm,query_recall,65,155.18,156.673,157.655,155.312,157.655,6.438,0,0,True,10.096
200k,200000,long,300,5,cold,query_recall,273,187.943,212.636,245.321,183.93,255.56,27.007,0,0,True,10.109
200k,200000,long,300,5,warm,query_recall,275,187.584,211.884,226.26,183.502,254.095,27.028,0,0,True,10.174
200k,200000,long,300,10,cold,query_recall,278,365.629,400.201,419.155,364.954,425.403,27.162,0,0,True,10.235
200k,200000,long,300,10,warm,query_recall,278,365.01,392.672,411.507,365.349,421.861,27.175,0,0,True,10.23
200k,200000,long,300,20,cold,query_recall,281,732.0,755.881,779.16,723.925,789.573,27.205,0,0,True,10.329
200k,200000,long,300,20,warm,query_recall,280,731.541,758.976,776.603,725.742,780.191,27.186,0,0,True,10.299
200k,200000,ultra,600,1,cold,query_recall,71,141.197,142.337,143.08,141.291,143.08,7.077,0,0,True,10.033
200k,200000,ultra,600,1,warm,query_recall,71,141.703,143.047,143.197,141.715,143.197,7.056,0,0,True,10.063
200k,200000,ultra,600,5,cold,query_recall,274,185.276,210.842,242.201,183.462,257.988,27.062,0,0,True,10.125
200k,200000,ultra,600,5,warm,query_recall,275,186.677,209.747,244.188,183.281,254.559,27.083,0,0,True,10.154
200k,200000,ultra,600,10,cold,query_recall,277,366.076,399.872,421.051,365.031,424.715,27.21,0,0,True,10.18
200k,200000,ultra,600,10,warm,query_recall,277,364.707,400.375,422.977,364.616,434.806,27.132,0,0,True,10.209
200k,200000,ultra,600,20,cold,query_recall,281,729.285,761.247,780.743,723.783,804.075,27.105,0,0,True,10.367
200k,200000,ultra,600,20,warm,query_recall,281,730.539,759.5,779.609,724.738,791.955,27.183,0,0,True,10.337
500k,500000,short,25,1,cold,remote_match,143,70.224,70.915,72.89,70.263,72.941,14.229,0,0,True,10.05
500k,500000,short,25,1,warm,remote_match,142,70.415,71.315,73.879,70.538,80.68,14.173,0,0,True,10.019
500k,500000,short,25,5,cold,remote_match,594,83.223,120.447,140.752,84.619,246.738,58.981,0,0,True,10.071
500k,500000,short,25,5,warm,remote_match,603,83.321,118.728,133.757,83.252,139.963,59.731,0,0,True,10.095
500k,500000,short,25,10,cold,remote_match,608,165.664,200.355,213.392,165.717,232.018,59.841,0,0,True,10.16
500k,500000,short,25,10,warm,remote_match,608,165.736,200.797,210.528,165.768,226.995,59.77,0,0,True,10.172
500k,500000,short,25,20,cold,remote_match,618,330.808,376.356,387.683,328.782,390.209,59.707,0,0,True,10.351
500k,500000,short,25,20,warm,remote_match,618,330.418,376.841,386.21,328.953,392.376,59.828,0,0,True,10.33
500k,500000,medium,100,1,cold,remote_match,125,79.965,80.906,81.82,80.106,93.039,12.481,0,0,True,10.015
500k,500000,medium,100,1,warm,remote_match,126,79.633,80.473,81.237,79.702,82.851,12.544,0,0,True,10.045
500k,500000,medium,100,5,cold,remote_match,603,83.234,117.786,130.749,83.334,142.575,59.791,0,0,True,10.085
500k,500000,medium,100,5,warm,remote_match,602,82.691,118.649,133.654,83.343,140.503,59.756,0,0,True,10.074
500k,500000,medium,100,10,cold,remote_match,607,167.378,201.474,215.235,166.421,228.074,59.592,0,0,True,10.186
500k,500000,medium,100,10,warm,remote_match,607,167.202,200.63,211.194,166.315,227.47,59.623,0,0,True,10.181
500k,500000,medium,100,20,cold,remote_match,617,330.771,376.844,387.788,329.593,390.419,59.516,0,0,True,10.367
500k,500000,medium,100,20,warm,remote_match,618,331.302,376.932,387.442,329.171,393.614,59.647,0,0,True,10.361
500k,500000,long,300,1,cold,remote_match,102,98.568,99.382,102.278,98.854,119.61,10.114,0,0,True,10.085
500k,500000,long,300,1,warm,remote_match,102,98.654,99.31,100.38,98.678,100.409,10.132,0,0,True,10.067
500k,500000,long,300,5,cold,remote_match,598,83.809,118.754,130.011,83.873,139.918,59.285,0,0,True,10.087
500k,500000,long,300,5,warm,remote_match,598,83.206,115.718,131.379,83.847,135.102,59.336,0,0,True,10.078
500k,500000,long,300,10,cold,remote_match,579,174.623,219.842,246.785,174.115,289.603,56.954,0,0,True,10.166
500k,500000,long,300,10,warm,remote_match,574,174.757,219.248,251.599,175.649,284.356,56.318,0,0,True,10.192
500k,500000,long,300,20,cold,remote_match,583,350.033,401.376,427.131,348.618,454.234,56.457,0,0,True,10.326
500k,500000,long,300,20,warm,remote_match,593,345.328,392.929,411.553,342.666,437.786,57.427,0,0,True,10.326
500k,500000,ultra,600,1,cold,remote_match,98,99.774,117.9,127.58,102.71,127.58,9.734,0,0,True,10.067
500k,500000,ultra,600,1,warm,remote_match,97,99.536,119.081,142.785,103.696,142.785,9.642,0,0,True,10.06
500k,500000,ultra,600,5,cold,remote_match,573,85.785,132.555,153.616,87.624,179.41,56.863,0,0,True,10.077
500k,500000,ultra,600,5,warm,remote_match,574,86.884,123.829,152.028,87.488,207.249,56.953,0,0,True,10.078
500k,500000,ultra,600,10,cold,remote_match,581,172.804,218.504,246.745,173.438,271.162,57.291,0,0,True,10.141
500k,500000,ultra,600,10,warm,remote_match,571,174.523,220.593,247.685,176.419,271.517,56.19,0,0,True,10.162
500k,500000,ultra,600,20,cold,remote_match,595,344.392,394.174,416.506,342.287,437.015,57.442,0,0,True,10.358
500k,500000,ultra,600,20,warm,remote_match,592,345.795,392.793,415.706,343.212,425.611,57.287,0,0,True,10.334
500k,500000,short,25,1,cold,query_recall,62,158.721,182.309,203.53,163.793,203.53,6.104,0,0,True,10.156
500k,500000,short,25,1,warm,query_recall,59,162.846,207.934,226.252,169.829,226.252,5.888,0,0,True,10.021
500k,500000,short,25,5,cold,query_recall,361,137.819,182.042,208.142,139.552,213.312,35.731,0,0,True,10.103
500k,500000,short,25,5,warm,query_recall,356,136.344,191.564,207.548,140.942,263.863,35.307,0,0,True,10.083
500k,500000,short,25,10,cold,query_recall,364,274.529,335.129,372.541,277.4,378.673,35.811,0,0,True,10.164
500k,500000,short,25,10,warm,query_recall,370,271.114,325.265,348.009,272.905,393.282,36.403,0,0,True,10.164
500k,500000,short,25,20,cold,query_recall,377,546.702,591.483,607.407,542.318,629.262,36.4,0,0,True,10.357
500k,500000,short,25,20,warm,query_recall,376,549.537,596.464,625.881,546.496,628.4,36.138,0,0,True,10.405
500k,500000,medium,100,1,cold,query_recall,77,129.379,142.209,155.906,131.423,155.906,7.608,0,0,True,10.121
500k,500000,medium,100,1,warm,query_recall,76,130.423,145.648,149.05,132.879,149.05,7.525,0,0,True,10.1
500k,500000,medium,100,5,cold,query_recall,360,136.561,182.669,216.204,140.317,251.289,35.429,0,0,True,10.161
500k,500000,medium,100,5,warm,query_recall,363,136.052,178.971,199.43,138.397,210.092,35.93,0,0,True,10.103
500k,500000,medium,100,10,cold,query_recall,372,270.56,319.168,358.249,271.673,381.723,36.582,0,0,True,10.169
500k,500000,medium,100,10,warm,query_recall,371,270.963,324.823,345.035,272.617,353.744,36.303,0,0,True,10.22
500k,500000,medium,100,20,cold,query_recall,379,544.17,589.312,629.324,541.605,674.503,36.472,0,0,True,10.392
500k,500000,medium,100,20,warm,query_recall,375,550.459,608.738,632.371,548.237,662.776,36.039,0,0,True,10.405
500k,500000,long,300,1,cold,query_recall,75,130.194,152.837,167.308,133.873,167.308,7.469,0,0,True,10.042
500k,500000,long,300,1,warm,query_recall,78,128.284,133.11,153.939,129.102,153.939,7.745,0,0,True,10.071
500k,500000,long,300,5,cold,query_recall,374,129.552,171.646,190.355,134.309,203.823,36.934,0,0,True,10.126
